Id,Label,timeset,industry,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,pageranks
AAOI,AAOI,,Unclassified,53,1,1,1,0,0.826257,0.006172
AAPL,AAPL,,Comps,53,1,1,1,0,1,0.083393
AKS,AKS,,Steel,53,1,1,1,0,0.75778,0.008121
AMD,AMD,,Chips,53,1,1,1,0,0.937055,0.023934
AMGN,AMGN,,Drugs,53,1,1,1,0,0.700381,0.01321
AMZN,AMZN,,BusSv,53,1,1,1,0,0.967597,0.0787
BA,BA,,Aero,53,1,1,1,0,0.719194,0.011237
BAC,BAC,,Banks,53,1,1,1,0,0.820397,0.026185
C,C,,Banks,53,1,1,1,0,0.717297,0.017373
CARA,CARA,,Unclassified,53,1,1,1,0,0.743896,0.004071
CAT,CAT,,Mach,53,1,1,1,0,0.704807,0.009877
CELG,CELG,,Chems,53,1,1,1,0,0.742265,0.008568
CHK,CHK,,Oil,53,1,1,1,0,0.710238,0.008292
CLF,CLF,,Mines,53,1,1,1,0,0.712405,0.00581
CLVS,CLVS,,Unclassified,53,1,1,1,0,0.693979,0.007844
CMG,CMG,,Meals,53,1,1,1,0,0.728303,0.0114
DIS,DIS,,BusSv,53,1,1,1,0,0.750201,0.015738
EXEL,EXEL,,BusSv,53,1,1,1,0,0.695126,0.006168
F,F,,Autos,53,1,1,1,0,0.741704,0.015705
FB,FB,,Unclassified,53,1,1,1,0,0.978008,0.072672
FCX,FCX,,Mines,53,1,1,1,0,0.709598,0.007472
FSLR,FSLR,,Chips,53,1,1,1,0,0.741642,0.007256
GE,GE,,Mach,53,1,1,1,0,0.793473,0.014153
GILD,GILD,,Drugs,53,1,1,1,0,0.793278,0.015853
GOOGL,GOOGL,,BusSv,53,1,1,1,0,0.772479,0.042851
GPRO,GPRO,,Unclassified,53,1,1,1,0,0.73267,0.008452
GS,GS,,Fin,53,1,1,1,0,0.749978,0.027777
HMNY,HMNY,,BusSv,53,1,1,1,0,0.763656,0.004387
HTZ,HTZ,,Persv,53,1,1,1,0,0.695343,0.003874
IBM,IBM,,BusSv,53,1,1,1,0,0.702925,0.015503
IMMU,IMMU,,Drugs,53,1,1,1,0,0.723118,0.005572
INTC,INTC,,Chips,53,1,1,1,0,0.731648,0.023512
JCP,JCP,,Rtail,53,1,1,1,0,0.727892,0.008425
JNJ,JNJ,,Drugs,53,1,1,1,0,0.718084,0.015762
JPM,JPM,,Banks,53,1,1,1,0,0.725094,0.020805
M,M,,Rtail,53,1,1,1,0,0.72292,0.00965
MNKD,MNKD,,Drugs,53,1,1,1,0,0.734968,0.007061
MRK,MRK,,Drugs,53,1,1,1,0,0.702177,0.013491
MSFT,MSFT,,BusSv,53,1,1,1,0,0.795271,0.038173
MU,MU,,Chips,53,1,1,1,0,0.873917,0.015028
NFLX,NFLX,,Fun,53,1,1,1,0,0.879194,0.046192
NKE,NKE,,Clths,53,1,1,1,0,0.698255,0.007032
NVDA,NVDA,,Chips,53,1,1,1,0,0.948249,0.042326
OCLR,OCLR,,Chips,53,1,1,1,0,0.702407,0.005425
QCOM,QCOM,,Chips,53,1,1,1,0,0.706409,0.010937
RAD,RAD,,Rtail,53,1,1,1,0,0.753211,0.005329
SHLD,SHLD,,Rtail,53,1,1,1,0,0.701464,0.00608
SQ,SQ,,Comps,53,1,1,1,0,0.786719,0.007267
T,T,,Telcm,53,1,1,1,0,0.71598,0.013612
TSLA,TSLA,,Autos,53,1,1,1,0,0.931771,0.053251
TWTR,TWTR,,BusSv,53,1,1,1,0,0.894005,0.033495
WMT,WMT,,Rtail,53,1,1,1,0,0.706493,0.013596
WTW,WTW,,Persv,53,1,1,1,0,0.692164,0.004757
X,X,,Steel,53,1,1,1,0,0.821732,0.011173
